PeakID (cmd=annotatePeaks.pl Filtered_Peaks_Union.txt mm10 -d tag/LKO_GCG_Input-Redo.tag/ tag/LKO_Veh_Input-Redo.tag/ tag/P8249_FLKO_GCG.tag/ tag/P8250_FLKO_GCG.tag/ tag/P8251_FWT_GCG.tag/ tag/P8266_FWT_GCG.tag/ tag/P8268_FLKO_Veh.tag/ tag/P8289_FLKO_Veh.tag/ tag/P8292_FWT_Veh.tag/ tag/P8297_FWT_Veh.tag/ tag/WT_GCG_Input-Redo.tag/ tag/WT_Veh_Input-Redo.tag/)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	"tag/LKO_GCG_Input-Redo.tag/ Tag Count in given bp (18551812.0 Total, normalization factor = 0.54, effective total = 10000000)"	"tag/LKO_Veh_Input-Redo.tag/ Tag Count in given bp (20488236.0 Total, normalization factor = 0.49, effective total = 10000000)"	"tag/P8249_FLKO_GCG.tag/ Tag Count in given bp (19468993.0 Total, normalization factor = 0.51, effective total = 10000000)"	"tag/P8250_FLKO_GCG.tag/ Tag Count in given bp (18132350.0 Total, normalization factor = 0.55, effective total = 10000000)"	"tag/P8251_FWT_GCG.tag/ Tag Count in given bp (17583237.0 Total, normalization factor = 0.57, effective total = 10000000)"	"tag/P8266_FWT_GCG.tag/ Tag Count in given bp (19301124.0 Total, normalization factor = 0.52, effective total = 10000000)"	"tag/P8268_FLKO_Veh.tag/ Tag Count in given bp (17392915.0 Total, normalization factor = 0.57, effective total = 10000000)"	"tag/P8289_FLKO_Veh.tag/ Tag Count in given bp (15752938.0 Total, normalization factor = 0.63, effective total = 10000000)"	"tag/P8292_FWT_Veh.tag/ Tag Count in given bp (19236269.0 Total, normalization factor = 0.52, effective total = 10000000)"	"tag/P8297_FWT_Veh.tag/ Tag Count in given bp (14643986.0 Total, normalization factor = 0.68, effective total = 10000000)"	"tag/WT_GCG_Input-Redo.tag/ Tag Count in given bp (18902719.0 Total, normalization factor = 0.53, effective total = 10000000)"	"tag/WT_Veh_Input-Redo.tag/ Tag Count in given bp (21333023.0 Total, normalization factor = 0.47, effective total = 10000000)"
Merged-chr8-114094710-1	chr8	114094617	114094803	+	32.900002	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-38864	NM_024446	67528		NM_024437	ENSMUSG00000031767	Nudt7	1300007B24Rik|2210404C19Rik	nudix hydrolase 7	protein-coding	0.54	1.46	4.62	3.31	2.27	5.18	8.05	5.71	0.52	6.15	1.06	1.41
Merged-chr6-86585274-2	chr6	86585121	86585425	+	31.849998	pCREB.fed.mergepeaks.txt|GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-42901	NM_026414	67855		NM_026414	ENSMUSG00000033508	Asprv1	2300003P22Rik|SASP|SASPase|Taps	"aspartic peptidase, retroviral-like 1"	protein-coding	1.62	3.9	2.57	7.17	4.55	2.07	12.65	12.7	11.96	18.44	2.65	5.63
Merged-chr4-45524040-1	chr4	45523947	45524133	+	30.5	GetdiffpeaksBCL6WT.txt	"intron (NM_001033306, intron 1 of 5)"	MER2|DNA|TcMar-Tigger	6788	NM_001033306	230126		NM_001033306	ENSMUSG00000044813	Shb	-	src homology 2 domain-containing transforming protein B	protein-coding	0.54	2.93	1.03	0	1.14	1.55	2.3	2.54	1.04	4.1	1.06	0.94
Merged-chr18-74958309-1	chr18	74958216	74958402	+	30.5	GetdiffpeaksBCL6WT.txt	"intron (NM_010720, intron 1 of 9)"	MER46C|DNA|TcMar-Tigger	2954	NM_010720	16891		NM_010720	ENSMUSG00000053846	Lipg	3110013K01Rik|EL|lipase|mEDL	"lipase, endothelial"	protein-coding	0.54	1.46	0.51	2.21	4.55	2.59	4.02	4.44	1.56	6.15	2.12	0.94
Merged-chr4-6275765-1	chr4	6275672	6275858	+	29.299999	GetdiffpeaksBCL6WT.txt	promoter-TSS (NM_007824)	promoter-TSS (NM_007824)	-133	NM_007824	13122		NM_007824	ENSMUSG00000028240	Cyp7a1	CYPVII|CYPVIIc	"cytochrome P450, family 7, subfamily a, polypeptide 1"	protein-coding	1.62	3.42	3.6	3.86	3.41	5.18	6.9	5.08	0.52	4.1	0	1.88
Merged-chr2-160332749-1	chr2	160332656	160332842	+	29.299999	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-5255	NM_001033411	329554		NM_001033411		Gm826	Gm46773	predicted gene 826	ncRNA	3.77	0.98	8.73	4.96	7.39	6.74	8.05	6.98	4.16	4.78	2.12	1.88
Merged-chr13-101690297-1	chr13	101690204	101690390	+	29.299999	GetdiffpeaksBCL6WT.txt	"intron (NM_001024955, intron 2 of 9)"	"intron (NM_001024955, intron 2 of 9)"	2333	NM_001024955	18708		NM_001024955	ENSMUSG00000041417	Pik3r1	PI3K|p50alpha|p55alpha|p85alpha	phosphoinositide-3-kinase regulatory subunit 1	protein-coding	2.7	1.95	1.03	1.65	4.55	1.04	2.87	4.44	4.68	4.78	1.59	2.34
Merged-chr2-160236922-1	chr2	160236829	160237015	+	29.299999	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	90572	NM_001033411	329554		NM_001033411		Gm826	Gm46773	predicted gene 826	ncRNA	1.62	0.49	2.57	1.1	2.27	1.55	2.87	1.27	0.52	2.05	1.59	3.28
Merged-chr16-4489165-1	chr16	4489072	4489258	+	29.299999	GetdiffpeaksBCL6WT.txt	"intron (NM_001361474, intron 3 of 5)"	"intron (NM_001361474, intron 3 of 5)"	33901	NM_001361474	106393		NM_175347	ENSMUSG00000022519	Srl	9830004M20Rik|sar	sarcalumenin	protein-coding	2.16	1.95	2.05	0.55	0	0.52	2.87	3.81	1.56	3.41	1.59	2.81
Merged-chr11-107466754-1	chr11	107466661	107466847	+	29.299999	GetdiffpeaksBCL6WT.txt	"intron (NM_001359616, intron 1 of 8)"	"intron (NM_001359616, intron 1 of 8)"	3966	NM_001359616	71795		NM_145823	ENSMUSG00000040430	Pitpnc1	1110020B03Rik|5830436L09Rik|C330017I21Rik|Dnr411|RDGBB|RDGBB1|mrdgBbeta|rdgB-beta	"phosphatidylinositol transfer protein, cytoplasmic 1"	protein-coding	2.16	2.44	2.05	1.65	1.71	5.7	5.75	1.27	0.52	0.68	1.59	1.41
Merged-chr13-24442384-1	chr13	24442291	24442477	+	29.299999	GetdiffpeaksBCL6WT.txt	"intron (NM_001284520, intron 9 of 14)"	"intron (NM_001284520, intron 9 of 14)"	27262	NM_001284520	12763		NM_007717	ENSMUSG00000016756	Cmah	-	cytidine monophospho-N-acetylneuraminic acid hydroxylase	protein-coding	1.62	1.46	2.57	1.1	1.14	1.55	9.77	1.9	1.04	2.73	3.7	1.88
Merged-chr13-51872400-1	chr13	51872307	51872493	+	29.299999	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	25725	NM_011817	23882		NM_011817	ENSMUSG00000021453	Gadd45g	CR6|DDIT2|OIG37	growth arrest and DNA-damage-inducible 45 gamma	protein-coding	0	0	2.05	1.1	1.14	1.55	5.17	1.27	0.52	1.37	2.65	0.47
Merged-chr13-101764338-1	chr13	101764245	101764431	+	28.200001	GetdiffpeaksBCL6WT.txt	"intron (NM_001077495, intron 1 of 15)"	"intron (NM_001077495, intron 1 of 15)"	3879	NM_001077495	18708		NM_001024955	ENSMUSG00000041417	Pik3r1	PI3K|p50alpha|p55alpha|p85alpha	phosphoinositide-3-kinase regulatory subunit 1	protein-coding	1.62	0.98	2.05	3.86	0.57	1.04	5.17	1.9	2.6	0.68	0	3.28
Merged-chr4-45531314-2	chr4	45531057	45531492	+	28.014999	pCREB.fed.mergepeaks.txt|GetdiffpeaksBCL6WT.txt	promoter-TSS (NM_001033306)	promoter-TSS (NM_001033306)	-446	NM_001033306	230126		NM_001033306	ENSMUSG00000044813	Shb	-	src homology 2 domain-containing transforming protein B	protein-coding	4.85	3.9	9.25	12.13	12.51	15.03	29.32	20.95	12.48	30.05	3.7	7.03
Merged-chr1-39192817-2	chr1	39192637	39192941	+	27.150002	pCREB.fed.mergepeaks.txt|GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-1483	NM_008719	18143		NM_008719	ENSMUSG00000026077	Npas2	MOP4|bHLHe9	neuronal PAS domain protein 2	protein-coding	1.08	4.88	1.03	2.21	1.14	1.04	4.6	2.54	3.64	5.46	1.06	3.75
Merged-chr3-66365566-1	chr3	66365473	66365659	+	27	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-68729	NM_145820	72789		NM_028357	ENSMUSG00000027831	Veph1	2810471M23Rik|Veph	ventricular zone expressed PH domain-containing 1	protein-coding	1.08	0.98	2.57	1.1	1.71	1.04	0.57	0	1.04	0.68	1.59	0
Merged-chr18-34860418-1	chr18	34860325	34860511	+	27	GetdiffpeaksBCL6WT.txt	promoter-TSS (NM_007913)	promoter-TSS (NM_007913)	-789	NM_007913	13653		NM_007913	ENSMUSG00000038418	Egr1	A530045N19Rik|ETR103|Egr-1|Krox-1|Krox-24|Krox24|NGF1-A|NGFI-A|NGFIA|TIS8|Zenk|Zfp-6|Zif268|egr	early growth response 1	protein-coding	2.7	2.44	1.54	4.96	3.41	4.14	8.62	6.98	2.6	4.1	2.12	1.88
Merged-chr1-166280648-1	chr1	166280555	166280741	+	27	GetdiffpeaksBCL6WT.txt	"intron (NM_001357429, intron 3 of 6)"	"intron (NM_001357429, intron 3 of 6)"	26509	NM_001164528	100039795		NM_001164528	ENSMUSG00000040612	Ildr2	2810478N18Rik|3110063L10Rik|D1Ertd471e|Dbsm1|Ll	immunoglobulin-like domain containing receptor 2	protein-coding	1.08	0.98	0.51	0	1.14	1.55	0	2.54	1.04	5.46	1.59	0.94
Merged-chr13-101924777-1	chr13	101924684	101924870	+	27	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-156560	NM_001077495	18708		NM_001024955	ENSMUSG00000041417	Pik3r1	PI3K|p50alpha|p55alpha|p85alpha	phosphoinositide-3-kinase regulatory subunit 1	protein-coding	0.54	1.95	2.05	2.21	2.27	2.59	4.6	6.98	4.68	3.41	2.65	3.28
Merged-chr6-5496540-2	chr6	5496398	5496702	+	26.285	pCREB.fed.mergepeaks.txt|GetdiffpeaksBCL6WT.txt	promoter-TSS (NM_013743)	promoter-TSS (NM_013743)	-272	NM_013743	27273		NM_013743	ENSMUSG00000019577	Pdk4	-	"pyruvate dehydrogenase kinase, isoenzyme 4"	protein-coding	2.16	4.88	7.19	9.38	12.51	11.92	29.9	11.43	10.4	23.22	2.65	3.75
Merged-chr5-121948429-1	chr5	121948336	121948522	+	25.799999	GetdiffpeaksBCL6WT.txt	"intron (NM_007804, intron 2 of 22)"	CpG	99396	NM_007804	13048		NM_007804	ENSMUSG00000042589	Cux2	1700051K22Rik|Cutl2|Cux-2	cut-like homeobox 2	protein-coding	0.54	2.44	0	0	1.71	1.04	0.57	1.27	1.56	1.37	1.59	0
Merged-chr6-23144066-1	chr6	23143973	23144159	+	25.799999	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-11080	NM_013930	30956		NM_013930	ENSMUSG00000029695	Aass	LKR|LKR/SDH|LOR|LOR/SDH|Lorsdh|SDH	aminoadipate-semialdehyde synthase	protein-coding	2.16	2.93	4.11	3.86	6.82	2.07	2.87	0.63	2.6	3.41	1.06	2.34
Merged-chr6-5498985-1	chr6	5498892	5499078	+	25.799999	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-2707	NM_013743	27273		NM_013743	ENSMUSG00000019577	Pdk4	-	"pyruvate dehydrogenase kinase, isoenzyme 4"	protein-coding	2.16	0.98	2.05	3.31	1.14	4.14	4.6	1.27	1.04	1.37	0	1.41
Merged-chr18-34868039-1	chr18	34867946	34868132	+	25.799999	GetdiffpeaksBCL6WT.txt	Intergenic	RMER15|LTR|ERVL	6832	NM_007913	13653		NM_007913	ENSMUSG00000038418	Egr1	A530045N19Rik|ETR103|Egr-1|Krox-1|Krox-24|Krox24|NGF1-A|NGFI-A|NGFIA|TIS8|Zenk|Zfp-6|Zif268|egr	early growth response 1	protein-coding	1.08	0.98	1.54	3.86	2.84	2.59	3.45	2.54	2.08	2.73	2.12	0.94
Merged-chr11-109270260-1	chr11	109270167	109270353	+	25.799999	GetdiffpeaksBCL6WT.txt	"intron (NM_001165934, intron 7 of 16)"	"intron (NM_001165934, intron 7 of 16)"	27921	NM_001165934	19739		NM_011268	ENSMUSG00000020599	Rgs9	RGS9-1|Rgs9-2	regulator of G-protein signaling 9	protein-coding	1.62	0	0.51	0	1.14	2.59	0.57	0.63	1.56	0.68	1.59	0.94
Merged-chr19-3320320-2	chr19	3320114	3320454	+	24.833334	pCREB.fed.mergepeaks.txt|GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-3017	NM_013495	12894		NM_013495	ENSMUSG00000024900	Cpt1a	C730027G07|CPTI|Cpt1	"carnitine palmitoyltransferase 1a, liver"	protein-coding	1.08	4.88	19.52	21.51	21.04	14.51	42.55	29.2	15.08	30.73	2.12	3.75
Merged-chr1-39205237-1	chr1	39205144	39205330	+	24.6	GetdiffpeaksBCL6WT.txt	"intron (NM_008719, intron 1 of 20)"	"intron (NM_008719, intron 1 of 20)"	10965	NM_008719	18143		NM_008719	ENSMUSG00000026077	Npas2	MOP4|bHLHe9	neuronal PAS domain protein 2	protein-coding	2.16	1.95	1.03	1.65	2.84	1.55	4.6	1.27	0.52	0	1.06	0.47
Merged-chr4-32231467-1	chr4	32231374	32231560	+	24.6	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-185968	NM_001109661	12014		NM_007521	ENSMUSG00000040270	Bach2	E030004N02Rik	"BTB and CNC homology, basic leucine zipper transcription factor 2"	protein-coding	0.54	0.49	3.08	6.07	2.27	2.07	5.75	3.17	4.16	8.88	2.65	1.41
Merged-chr8-4779579-1	chr8	4779408	4779750	+	23.966667	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_011369)	promoter-TSS (NM_011369)	-12	NM_011369	20419		NM_011369	ENSMUSG00000022322	Shcbp1	mPAL	Shc SH2-domain binding protein 1	protein-coding	1.62	4.39	15.92	34.19	22.18	17.62	74.17	43.8	28.59	75.8	1.59	2.34
Merged-chr5-51289410-2	chr5	51289223	51289547	+	23.950001	pCREB.fed.mergepeaks.txt|GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	264536	NR_027710	19017		NM_008904	ENSMUSG00000029167	Ppargc1a	A830037N07Rik|Gm11133|PGC-1|PPARGC-1-alpha|Pgc-1alpha|Pgc1|Pgco1|Ppargc1	"peroxisome proliferative activated receptor, gamma, coactivator 1 alpha"	protein-coding	3.77	4.88	17.98	20.41	29	18.65	32.77	20.31	16.12	47.12	1.59	1.88
Merged-chr11-20347732-1	chr11	20347639	20347825	+	23.5	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-15019	NM_018861	55963		NM_018861	ENSMUSG00000020142	Slc1a4	ASCT-1|ASCT1|SATT	"solute carrier family 1 (glutamate/neutral amino acid transporter), member 4"	protein-coding	0	0.98	0.51	0.55	2.84	3.11	2.87	1.27	2.6	1.37	2.65	0.94
Merged-chr18-34505742-1	chr18	34505649	34505835	+	23.5	GetdiffpeaksBCL6WT.txt	"intron (NM_146084, intron 1 of 20)"	"intron (NM_146084, intron 1 of 20)"	1081	NM_146084	225358		NM_146084	ENSMUSG00000036501	Fam13b	2610024E20Rik	"family with sequence similarity 13, member B"	protein-coding	0.54	4.39	1.54	1.65	0.57	0.52	2.3	2.54	2.08	3.41	1.59	1.88
Merged-chr15-31407669-1	chr15	31407576	31407762	+	23.5	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-39910	NM_026153	67434		NM_026153	ENSMUSG00000022237	Ankrd33b	0610012A05Rik|3021401C12Rik|5730557B15Rik	ankyrin repeat domain 33B	protein-coding	1.62	0.98	2.57	2.76	0	0.52	1.72	2.54	0.52	0	0.53	1.41
Merged-chr4-45491403-1	chr4	45491310	45491496	+	23.5	GetdiffpeaksBCL6WT.txt	"intron (NM_001033306, intron 1 of 5)"	"intron (NM_001033306, intron 1 of 5)"	39425	NM_001033306	230126		NM_001033306	ENSMUSG00000044813	Shb	-	src homology 2 domain-containing transforming protein B	protein-coding	0.54	4.88	1.03	6.07	2.27	1.04	4.02	2.54	2.6	0.68	0.53	1.41
Merged-chr4-32247706-1	chr4	32247613	32247799	+	23.5	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-169729	NM_001109661	12014		NM_007521	ENSMUSG00000040270	Bach2	E030004N02Rik	"BTB and CNC homology, basic leucine zipper transcription factor 2"	protein-coding	0	1.95	1.54	2.76	0.57	0.52	3.45	0	2.6	2.05	2.65	0
Merged-chr10-87051963-2	chr10	87051830	87052122	+	22.975	pCREB.fed.mergepeaks.txt|GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-6070	NM_029685	76640		NM_029685	ENSMUSG00000047129	1700113H08Rik	-	RIKEN cDNA 1700113H08 gene	protein-coding	1.62	7.32	18.49	20.96	13.65	13.99	19.55	6.35	5.72	12.29	1.59	1.41
Merged-chr18-32557694-1	chr18	32557601	32557787	+	22.299999	GetdiffpeaksBCL6WT.txt	"intron (NM_001048207, intron 1 of 2)"	"intron (NM_001048207, intron 1 of 2)"	2340	NM_001048207	71683		NM_027863	ENSMUSG00000090523	Gypc	0610037F22Rik|Cd236r	glycophorin C	protein-coding	2.16	0.98	1.54	1.65	4.55	6.22	6.32	3.17	2.08	13.66	2.65	2.81
Merged-chr18-12555369-1	chr18	12555276	12555462	+	22.299999	GetdiffpeaksBCL6WT.txt	"intron (NM_010680, intron 64 of 74)"	B4|SINE|B4	51172	NM_001347461	16774		NM_010680	ENSMUSG00000024421	Lama3	Lama3B|[a]3B	"laminin, alpha 3"	protein-coding	1.08	1.46	0.51	1.1	2.27	2.59	1.72	0.63	1.04	1.37	0.53	0
Merged-chr13-24330366-1	chr13	24330273	24330459	+	22.299999	GetdiffpeaksBCL6WT.txt	"5' UTR (NM_001284519, exon 2 of 18)"	"5' UTR (NM_001284519, exon 2 of 18)"	2962	NM_001111110	12763		NM_007717	ENSMUSG00000016756	Cmah	-	cytidine monophospho-N-acetylneuraminic acid hydroxylase	protein-coding	4.31	4.39	2.57	2.21	2.27	3.63	5.17	0.63	0.52	2.73	2.65	2.81
Merged-chr13-51911452-1	chr13	51911359	51911545	+	22.299999	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	64777	NM_011817	23882		NM_011817	ENSMUSG00000021453	Gadd45g	CR6|DDIT2|OIG37	growth arrest and DNA-damage-inducible 45 gamma	protein-coding	3.23	3.42	1.54	2.21	2.27	4.14	3.45	2.54	2.08	2.73	1.59	0.94
Merged-chr13-51866508-1	chr13	51866415	51866601	+	22.299999	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	19833	NM_011817	23882		NM_011817	ENSMUSG00000021453	Gadd45g	CR6|DDIT2|OIG37	growth arrest and DNA-damage-inducible 45 gamma	protein-coding	0	0.98	1.03	1.1	2.27	0.52	5.75	1.9	3.12	5.46	2.12	3.75
Merged-chr17-29210213-1	chr17	29210120	29210306	+	22.299999	GetdiffpeaksBCL6WT.txt	"intron (NM_153166, intron 4 of 20)"	"intron (NM_153166, intron 4 of 20)"	27577	NM_153166	240058		NM_153166	ENSMUSG00000024008	Cpne5	A830083G22Rik	copine V	protein-coding	1.08	0.49	0.51	0	1.14	1.04	1.72	2.54	2.6	7.51	0.53	2.34
Merged-chr4-11896651-2	chr4	11896431	11896805	+	21.137501	pCREB.fed.mergepeaks.txt|GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	69095	NM_001098231	381511		NM_001033453	ENSMUSG00000049225	Pdp1	Gm1024|PDPC 1|Ppm2c	pyruvate dehydrogenase phosphatase catalytic subunit 1	protein-coding	0	5.37	11.81	19.3	9.67	19.17	28.17	22.85	8.84	34.83	4.23	5.63
Merged-chr7-116226933-1	chr7	116226840	116227026	+	21.1	GetdiffpeaksBCL6WT.txt	"intron (NM_001305185, intron 3 of 26)"	"intron (NM_001305185, intron 3 of 26)"	10843	NM_001305186	233765		NM_172743	ENSMUSG00000045659	Plekha7	A430081P20Rik	"pleckstrin homology domain containing, family A member 7"	protein-coding	1.08	0.49	0.51	1.65	0.57	1.04	2.87	1.9	0	1.37	0	0.47
Merged-chr8-82403061-1	chr8	82402968	82403154	+	21.1	GetdiffpeaksBCL6WT.txt	promoter-TSS (NM_008357)	promoter-TSS (NM_008357)	-475	NM_008357	16168		NM_008357	ENSMUSG00000031712	Il15	IL-15	interleukin 15	protein-coding	3.23	2.44	1.03	1.65	1.71	4.66	4.02	3.17	0.52	1.37	0.53	0.94
Merged-chr12-86515132-1	chr12	86515039	86515225	+	21.1	GetdiffpeaksBCL6WT.txt	"intron (NM_001159500, intron 6 of 6)"	"intron (NM_001159500, intron 6 of 6)"	93488	NM_011934	26380		NM_011934	ENSMUSG00000021255	Esrrb	Err2|Errb|Estrrb|Nr3b2	"estrogen related receptor, beta"	protein-coding	0.54	0.98	0.51	1.1	0	0.52	0.57	0.63	0	0.68	0	2.34
Merged-chr6-5485239-1	chr6	5485146	5485332	+	21.1	GetdiffpeaksBCL6WT.txt	"3' UTR (NM_013743, exon 11 of 11)"	"3' UTR (NM_013743, exon 11 of 11)"	11039	NM_013743	27273		NM_013743	ENSMUSG00000019577	Pdk4	-	"pyruvate dehydrogenase kinase, isoenzyme 4"	protein-coding	0.54	2.93	2.05	1.65	0.57	0.52	4.02	3.17	3.12	4.78	1.06	1.41
Merged-chr18-74935915-1	chr18	74935822	74936008	+	21.1	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	25348	NM_010720	16891		NM_010720	ENSMUSG00000053846	Lipg	3110013K01Rik|EL|lipase|mEDL	"lipase, endothelial"	protein-coding	2.7	3.42	0	0.55	1.14	2.59	2.87	1.9	1.04	2.05	3.17	1.41
Merged-chr6-5474240-1	chr6	5474147	5474333	+	21.1	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	22038	NM_013743	27273		NM_013743	ENSMUSG00000019577	Pdk4	-	"pyruvate dehydrogenase kinase, isoenzyme 4"	protein-coding	1.62	1.46	2.05	1.1	3.41	1.04	1.15	2.54	2.08	0.68	0.53	1.88
Merged-chr15-31343843-1	chr15	31343750	31343936	+	21.1	GetdiffpeaksBCL6WT.txt	"intron (NM_027496, intron 1 of 3)"	"intron (NM_027496, intron 1 of 3)"	23916	NM_001164441	67434		NM_026153	ENSMUSG00000022237	Ankrd33b	0610012A05Rik|3021401C12Rik|5730557B15Rik	ankyrin repeat domain 33B	protein-coding	1.62	1.95	2.57	2.21	2.27	0.52	6.32	5.71	2.08	7.51	1.06	2.34
Merged-chr13-37857843-2	chr13	37857709	37858031	+	20.92	pCREB.fed.mergepeaks.txt|GetdiffpeaksBCL6WT.txt	"intron (NM_001039188, intron 1 of 9)"	CpG	30477	NM_001039188	68750		NM_026830	ENSMUSG00000039087	Rreb1	1110037N09Rik|B930013M22Rik|sao	ras responsive element binding protein 1	protein-coding	2.16	3.42	5.14	3.31	2.84	3.11	10.35	5.71	4.16	4.78	4.76	4.69
Merged-chr19-3333417-1	chr19	3333254	3333581	+	20.199999	pCREB.fed.mergepeaks.txt	"intron (NM_013495, intron 1 of 18)"	"intron (NM_013495, intron 1 of 18)"	10116	NM_013495	12894		NM_013495	ENSMUSG00000024900	Cpt1a	C730027G07|CPTI|Cpt1	"carnitine palmitoyltransferase 1a, liver"	protein-coding	2.7	6.35	26.71	23.71	21.61	21.76	58.64	38.72	28.07	67.6	4.76	5.63
Merged-chr13-101916341-1	chr13	101916248	101916434	+	19.9	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-148124	NM_001077495	18708		NM_001024955	ENSMUSG00000041417	Pik3r1	PI3K|p50alpha|p55alpha|p85alpha	phosphoinositide-3-kinase regulatory subunit 1	protein-coding	0.54	1.95	2.05	2.76	3.41	3.63	1.15	1.27	1.04	2.73	1.06	1.41
Merged-chr2-167570101-1	chr2	167570008	167570194	+	19.9	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	31906	NM_011427	20613		NM_011427	ENSMUSG00000042821	Snai1	Sna|Sna1|Snail|Snail1	snail family zinc finger 1	protein-coding	0.54	1.95	3.6	7.72	1.14	1.55	5.75	3.81	4.16	6.83	2.12	3.28
Merged-chr13-101980345-1	chr13	101980252	101980438	+	19.9	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-212128	NM_001077495	18708		NM_001024955	ENSMUSG00000041417	Pik3r1	PI3K|p50alpha|p55alpha|p85alpha	phosphoinositide-3-kinase regulatory subunit 1	protein-coding	1.62	0.98	0.51	2.76	1.14	3.11	5.17	0.63	3.12	1.37	1.06	2.34
Merged-chr8-86594504-1	chr8	86594411	86594597	+	19.9	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-27914	NM_172912	244562		NM_172912	ENSMUSG00000036872	Abcc12	4930467B22Rik|MRP9	"ATP-binding cassette, sub-family C member 12"	protein-coding	2.16	2.44	2.05	3.31	1.71	2.07	2.87	2.54	1.56	4.78	1.06	4.22
Merged-chr2-139812261-1	chr2	139812168	139812354	+	19.9	GetdiffpeaksBCL6WT.txt	Intergenic	MLTR18D_MM|LTR|ERVK	134083	NM_001276489	319909		NM_001126490	ENSMUSG00000074766	Ism1	5430433G21Rik|Ism	"isthmin 1, angiogenesis inhibitor"	protein-coding	0	1.46	2.05	0.55	0.57	1.04	0.57	0	1.04	1.37	0.53	0.47
Merged-chr6-23129378-1	chr6	23129285	23129471	+	19.9	GetdiffpeaksBCL6WT.txt	"intron (NM_013930, intron 1 of 23)"	"intron (NM_013930, intron 1 of 23)"	3608	NM_013930	30956		NM_013930	ENSMUSG00000029695	Aass	LKR|LKR/SDH|LOR|LOR/SDH|Lorsdh|SDH	aminoadipate-semialdehyde synthase	protein-coding	1.08	3.9	2.57	2.76	1.71	1.55	3.45	2.54	1.56	5.46	2.65	0.47
Merged-chr6-23133141-2	chr6	23132913	23133290	+	19.650002	pCREB.fed.mergepeaks.txt|GetdiffpeaksBCL6WT.txt	promoter-TSS (NM_013930)	promoter-TSS (NM_013930)	-115	NM_013930	30956		NM_013930	ENSMUSG00000029695	Aass	LKR|LKR/SDH|LOR|LOR/SDH|Lorsdh|SDH	aminoadipate-semialdehyde synthase	protein-coding	2.7	2.44	23.63	34.19	25.02	24.87	62.09	43.8	28.07	64.87	2.12	3.28
Merged-chr1-166266491-1	chr1	166266398	166266584	+	18.799999	GetdiffpeaksBCL6WT.txt	"intron (NM_001357431, intron 1 of 7)"	"intron (NM_001357431, intron 1 of 7)"	12352	NM_001164528	100039795		NM_001164528	ENSMUSG00000040612	Ildr2	2810478N18Rik|3110063L10Rik|D1Ertd471e|Dbsm1|Ll	immunoglobulin-like domain containing receptor 2	protein-coding	1.08	0.98	2.05	1.1	1.14	2.07	0	1.27	2.6	6.15	1.06	2.34
Merged-chr9-55277781-1	chr9	55277688	55277874	+	18.799999	GetdiffpeaksBCL6WT.txt	"intron (NM_032002, intron 3 of 7)"	B1F|SINE|Alu	5844	NM_032002	83961		NM_032002	ENSMUSG00000032311	Nrg4	-	neuregulin 4	protein-coding	1.62	1.95	2.05	2.21	1.71	4.66	2.3	1.9	1.04	2.05	2.65	2.34
