PeakID (cmd=annotatePeaks.pl Filtered_Peaks_all_pCREB.txt mm10 -d tag/LKO_GCG_Input-Redo.tag/ tag/LKO_Veh_Input-Redo.tag/ tag/P8249_FLKO_GCG.tag/ tag/P8250_FLKO_GCG.tag/ tag/P8251_FWT_GCG.tag/ tag/P8266_FWT_GCG.tag/ tag/P8268_FLKO_Veh.tag/ tag/P8289_FLKO_Veh.tag/ tag/P8292_FWT_Veh.tag/ tag/P8297_FWT_Veh.tag/ tag/WT_GCG_Input-Redo.tag/ tag/WT_Veh_Input-Redo.tag/)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	tag/LKO_GCG_Input-Redo.tag/ Tag Count in given bp (18551812.0 Total, normalization factor = 0.54, effective total = 10000000)	tag/LKO_Veh_Input-Redo.tag/ Tag Count in given bp (20488236.0 Total, normalization factor = 0.49, effective total = 10000000)	tag/P8249_FLKO_GCG.tag/ Tag Count in given bp (19468993.0 Total, normalization factor = 0.51, effective total = 10000000)	tag/P8250_FLKO_GCG.tag/ Tag Count in given bp (18132350.0 Total, normalization factor = 0.55, effective total = 10000000)	tag/P8251_FWT_GCG.tag/ Tag Count in given bp (17583237.0 Total, normalization factor = 0.57, effective total = 10000000)	tag/P8266_FWT_GCG.tag/ Tag Count in given bp (19301124.0 Total, normalization factor = 0.52, effective total = 10000000)	tag/P8268_FLKO_Veh.tag/ Tag Count in given bp (17392915.0 Total, normalization factor = 0.57, effective total = 10000000)	tag/P8289_FLKO_Veh.tag/ Tag Count in given bp (15752938.0 Total, normalization factor = 0.63, effective total = 10000000)	tag/P8292_FWT_Veh.tag/ Tag Count in given bp (19236269.0 Total, normalization factor = 0.52, effective total = 10000000)	tag/P8297_FWT_Veh.tag/ Tag Count in given bp (14643986.0 Total, normalization factor = 0.68, effective total = 10000000)	tag/WT_GCG_Input-Redo.tag/ Tag Count in given bp (18902719.0 Total, normalization factor = 0.53, effective total = 10000000)	tag/WT_Veh_Input-Redo.tag/ Tag Count in given bp (21333023.0 Total, normalization factor = 0.47, effective total = 10000000)
Merged-chr17-29660606-2	chr17	29660438	29660771	+	34.950001	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_028791)	promoter-TSS (NM_028791)	9	NM_028791	74157		NM_028791	ENSMUSG00000024019	Cmtr1	1300018I05Rik|Ftsjd2|MTr1	cap methyltransferase 1	protein-coding	3.23	6.35	50.85	81.62	63.13	55.96	151.21	97.76	62.90	157.74	2.65	6.09
Merged-chr2-29346780-2	chr2	29346619	29346947	+	34.883335	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_026896)	promoter-TSS (NM_026896)	-27	NM_026896	68975		NM_026896	ENSMUSG00000026799	Med27	1500015J03Rik|2310042P07Rik|Crsp8|D2Ertd434e	mediator complex subunit 27	protein-coding	3.23	4.39	51.36	76.66	39.24	43.52	124.19	116.17	58.22	122.92	4.23	7.03
Merged-chr8-121829552-2	chr8	121829388	121829734	+	34.866669	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_145605)	promoter-TSS (NM_145605)	8	NM_145605	234825		NM_145605	ENSMUSG00000040263	Klhdc4	G430025P05Rik	kelch domain containing 4	protein-coding	4.85	5.86	36.98	49.08	39.81	39.89	130.51	92.05	43.67	105.85	2.65	4.22
Merged-chr7-44467840-2	chr7	44467653	44468029	+	34.766666	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_001205070)	promoter-TSS (NM_001205070)	-139	NM_001205072	66124		NM_025368	ENSMUSG00000038695	Josd2	1110007C05Rik	Josephin domain containing 2	protein-coding	5.39	6.35	59.58	80.52	50.05	60.10	147.76	126.33	50.43	123.60	4.23	4.22
Merged-chr1-87755949-2	chr1	87755790	87756103	+	34.683334	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_001205391)	promoter-TSS (NM_001205391)	-65	NM_001205391	77040		NM_029846	ENSMUSG00000026289	Atg16l1	1500009K01Rik|Apg16l|Atg16l|WDR30	autophagy related 16 like 1	protein-coding	3.77	2.44	33.39	35.85	38.10	34.71	109.24	79.35	49.91	111.99	4.23	4.22
Merged-chr9-122951000-2	chr9	122950824	122951173	+	34.566666	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_010620)	promoter-TSS (NM_010620)	2	NM_025419	66202		NM_025419	ENSMUSG00000032551	1110059G10Rik	-	RIKEN cDNA 1110059G10 gene	protein-coding	0.00	5.86	70.88	105.89	81.33	58.55	213.88	129.50	93.05	195.98	4.76	3.75
Merged-chr6-87838876-2	chr6	87838710	87839059	+	34.546665	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_133934)	promoter-TSS (NM_133934)	-125	NM_133934	57905		NM_133934	ENSMUSG00000030056	Isy1	5830446M03Rik	ISY1 splicing factor homolog	protein-coding	1.62	7.32	43.66	73.90	55.73	45.59	136.26	108.55	66.02	166.62	3.70	3.75
Merged-chr10-59879591-2	chr10	59879430	59879762	+	34.533333	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_001374756)	promoter-TSS (NM_001374756)	13	NM_019965	56709		NM_019965	ENSMUSG00000020109	Dnajb12	Dj10|mDj10	DnaJ heat shock protein family (Hsp40) member B12	protein-coding	2.70	4.88	36.47	60.11	39.81	31.09	117.86	73.00	47.83	110.63	2.65	4.22
Merged-chr1-43933864-2	chr1	43933676	43934049	+	34.454998	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_009418)	promoter-TSS (NM_009418)	-132	NM_001310540	22019		NM_009418	ENSMUSG00000041763	Tpp2	TPP-2|TppII	tripeptidyl peptidase II	protein-coding	3.23	5.86	53.93	70.59	71.09	53.88	176.51	113.63	55.10	185.06	9.52	7.97
Merged-chr6-83506937-2	chr6	83506786	83507100	+	34.433334	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_013764)	promoter-TSS (NM_013764)	26	NM_001162521	27369		NM_013764	ENSMUSG00000014554	Dguok	dGK|dGK1|dGK2|dGK3	deoxyguanosine kinase	protein-coding	1.08	3.90	32.87	35.30	31.28	37.30	119.01	63.48	55.10	132.48	3.17	3.75
Merged-chr17-6079796-2	chr17	6079634	6079953	+	34.419998	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_001111017)	promoter-TSS (NM_001111017)	-35	NM_181392	66467		NM_181392	ENSMUSG00000034345	Gtf2h5	2700017P07Rik|2810432H05Rik|D17Wsu155e	general transcription factor IIH, polypeptide 5	protein-coding	3.23	2.93	51.36	69.49	55.73	60.10	155.81	120.61	61.34	166.62	8.46	8.91
Merged-chr17-15499883-2	chr17	15499708	15500060	+	34.400002	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_013684)	promoter-TSS (NM_013684)	-4	NM_013684	21374		NM_013684	ENSMUSG00000014767	Tbp	GTF2D1|Gtf2d|SCA17|TFIID	TATA box binding protein	protein-coding	5.39	3.90	35.44	43.02	43.22	31.60	110.96	79.99	45.75	106.53	3.17	7.97
Merged-chr12-84417294-2	chr12	84417103	84417460	+	34.366669	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_025525)	promoter-TSS (NM_025525)	81	NM_025525	66381		NM_025525	ENSMUSG00000098134	Rnf113a2	2310020H19Rik|Rnf113a	ring finger protein 113A2	protein-coding	1.62	5.37	29.79	39.71	32.99	34.19	114.41	74.91	54.06	129.75	2.12	2.81
Merged-chr15-93398354-2	chr15	93398186	93398519	+	34.316666	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_175363)	promoter-TSS (NM_175363)	2	NM_001358750	223828		NM_146062	ENSMUSG00000036167	Pphln1	CR|HSPC206|HSPC232	periphilin 1	protein-coding	2.70	6.83	66.26	75.00	65.40	52.85	123.04	86.97	54.58	147.50	3.70	5.63
Merged-chr3-138143460-2	chr3	138143299	138143641	+	34.303333	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_175389)	promoter-TSS (NM_175389)	22	NM_175389	108943		NM_175389	ENSMUSG00000004127	Trmt10a	3110023L08Rik|Rg9mtd2|Rnmtd2	tRNA methyltransferase 10A	protein-coding	1.62	5.86	63.69	95.41	71.09	67.35	174.21	146.00	82.66	194.62	1.59	6.56
Merged-chr5-93206654-2	chr5	93206483	93206831	+	34.286667	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_017367)	promoter-TSS (NM_017367)	139	NM_029363	75610		NM_029363	ENSMUSG00000029384	2010109A12Rik	-	RIKEN cDNA 2010109A12 gene	protein-coding	5.39	5.86	27.22	38.05	27.87	22.80	71.87	43.80	28.07	78.53	3.17	7.03
Merged-chr6-114643082-2	chr6	114642918	114643243	+	34.233334	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_001253717)	promoter-TSS (NM_001253717)	-47	NM_001253718	74244		NM_028835	ENSMUSG00000030314	Atg7	1810013K23Rik|Agp7|Apg7l|Atg7l|Gm21553	autophagy related 7	protein-coding	3.23	6.83	37.50	54.05	43.22	42.48	131.66	74.91	46.79	116.77	2.65	7.50
Merged-chr11-52396379-2	chr11	52396224	52396543	+	34.153332	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_153117)	promoter-TSS (NM_153117)	-45	NM_153117	213673		NM_153117	ENSMUSG00000036275	9530068E07Rik	Kct2	RIKEN cDNA 9530068E07 gene	protein-coding	3.23	1.46	36.98	49.64	47.77	44.56	128.79	89.51	43.15	123.60	1.59	5.16
Merged-chr10-50592639-2	chr10	50592477	50592808	+	34.116669	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_198007)	promoter-TSS (NM_198007)	-27	NM_198007	77987		NM_198007	ENSMUSG00000038774	Ascc3	ASC1p200|B630009I04Rik|D430001L07Rik|D630041L21|Helic1|RNAH	activating signal cointegrator 1 complex subunit 3	protein-coding	2.16	8.79	72.42	102.03	93.27	69.43	208.71	140.93	77.46	211.69	3.17	7.97
Merged-chr7-132931075-2	chr7	132930904	132931253	+	34.099998	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_207302)	promoter-TSS (NM_207302)	-98	NM_001362198	360216		NM_207302	ENSMUSG00000030967	Zranb1	9330160G10Rik|D7Wsu87e|Gm1956|Trabid	zinc finger, RAN-binding domain containing 1	protein-coding	1.08	8.79	48.28	73.90	69.38	52.33	163.86	119.34	66.54	179.60	6.88	4.22
Merged-chr11-70410067-2	chr11	70409885	70410250	+	33.866665	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_029231)	promoter-TSS (NM_029231)	-36	NM_029231	75273		NM_029231	ENSMUSG00000018921	Pelp1	4930563C04Rik|MNAR	proline, glutamic acid and leucine rich protein 1	protein-coding	9.16	6.35	50.85	56.25	53.46	44.56	142.01	99.03	55.62	135.89	3.17	2.81
Merged-chr16-17911402-2	chr16	17911214	17911583	+	33.836666	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_022408)	promoter-TSS (NM_022408)	-50	NM_001081633	27886		NM_022408	ENSMUSG00000003527	Ess2	D16H22S1269E|Dgcr1|Dgcr14|Dgsi|ES2|Es2el	ess-2 splicing factor	protein-coding	4.31	4.88	61.64	76.66	56.87	54.40	136.84	114.90	54.58	132.48	4.76	5.63
Merged-chr11-87404490-2	chr11	87404328	87404647	+	33.781666	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_031386)	promoter-TSS (NM_031386)	19	NR_156495	114714		NM_053269	ENSMUSG00000007646	Rad51c	R51H3|Rad51l2	RAD51 paralog C	protein-coding	1.62	3.42	57.01	75.00	56.87	63.73	197.21	143.47	78.50	194.62	2.12	7.03
Merged-chr3-89458906-2	chr3	89458673	89459132	+	33.753334	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_027348)	promoter-TSS (NM_027348)	-216	NM_026784	68603		NM_026784	ENSMUSG00000027952	Pmvk	1110011E12Rik|2900002L22Rik|PMK|PMKA|PMKASE	phosphomevalonate kinase	protein-coding	6.47	5.86	61.64	88.24	71.66	71.50	206.41	152.99	92.01	209.64	5.29	6.56
Merged-chr2-39065551-2	chr2	39065369	39065735	+	33.633331	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NR_110968)	promoter-TSS (NR_110968)	-11	NR_110968	76899		NM_029793	ENSMUSG00000026754	Golga1	0710001G09Rik|2210418B03Rik|Golgi97|awag|golgin-97	golgin A1	protein-coding	4.31	4.88	25.17	34.74	32.99	31.09	105.22	71.73	30.67	109.94	6.88	5.16
Merged-chr8-122376617-2	chr8	122376447	122376780	+	33.616669	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_001310650)	promoter-TSS (NM_001310650)	-3	NM_001029994	76014		NM_024268	ENSMUSG00000017478	Zc3h18	1190001B23Rik|5830416A07Rik|Nhn1	zinc finger CCCH-type containing 18	protein-coding	3.23	8.30	40.58	63.97	39.24	41.45	112.69	80.62	36.91	95.60	5.82	6.56
Merged-chr11-69008452-2	chr11	69008298	69008608	+	33.533333	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_001159519)	promoter-TSS (NM_001159519)	7	NM_001159519	237823		NM_001159519	ENSMUSG00000020899	Pfas	4432409B16Rik|FGAMS|FGAR-AT|FGARAT|Gm18|PURL|Sofa	phosphoribosylformylglycinamidine synthase (FGAR amidotransferase)	protein-coding	3.77	0.98	24.65	38.05	37.54	33.68	80.49	47.61	43.15	116.09	3.17	2.34
Merged-chr6-65042684-2	chr6	65042472	65042915	+	33.516666	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_001253392)	promoter-TSS (NM_001253392)	102	NM_001355249	13990		NM_007958	ENSMUSG00000029920	Smarcad1	D6Pas1|Etl1|etl-1|mKIAA1122	SWI/SNF-related, matrix-associated actin-dependent regulator of chromatin, subfamily a, containing DEAD/H box 1	protein-coding	5.93	8.30	48.28	59.01	42.65	46.11	156.96	111.73	63.42	145.45	2.65	8.91
Merged-chr9-46230951-1	chr9	46230677	46231226	+	33.5	pCREB.fast.mergepeaks.txt	TTS (NM_009692)	TTS (NM_009692)	2321	NM_009692	11806		NM_009692	ENSMUSG00000032083	Apoa1	Alp-1|Apoa-1|Brp-14|Ltw-1|Lvtw-1|Sep-1|Sep-2|Sep2|apo-AI|apoA-I	apolipoprotein A-I	protein-coding	4.31	3.42	3.60	3.86	2.27	6.74	6.90	1.90	3.64	4.10	2.65	9.38
Merged-chr9-3018363-1	chr9	3018262	3018464	+	33.5	pCREB.fast.mergepeaks.txt	Intergenic	GSAT_MM|Satellite|Satellite	20380	NR_039546	100628572		NR_039546	ENSMUSG00000106183	Mir101c	mir-101c|mmu-mir-101c	microRNA 101c	ncRNA	57.14	49.78	16.44	15.99	14.22	10.88	18.40	12.70	8.84	10.93	52.90	40.78
Merged-chr5-100038985-2	chr5	100038798	100039156	+	33.483334	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	exon (NM_016690, exon 1 of 8)	exon (NM_016690, exon 1 of 8)	245	NR_152866	50926		NM_016690	ENSMUSG00000029328	Hnrnpdl	D5Ertd650e|D5Wsu145e|Hnrnpdl1|Hnrpdl|JKTBP|hnRNP DL|hnRNP-DL	heterogeneous nuclear ribonucleoprotein D-like	protein-coding	4.85	5.86	30.82	27.02	30.14	35.23	103.49	53.96	34.83	88.77	1.06	7.03
Merged-chr6-4086943-2	chr6	4086763	4087137	+	33.450001	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_009748)	promoter-TSS (NM_009748)	-20	NM_009748	12068		NM_009748	ENSMUSG00000032757	Bet1	Bet-1	Bet1 golgi vesicular membrane trafficking protein	protein-coding	2.70	6.35	38.52	60.11	44.93	39.89	147.19	103.47	64.98	120.19	4.76	9.38
Merged-chr1-183299273-2	chr1	183299116	183299435	+	33.366669	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	intron (NM_181732, intron 1 of 9)	RLTR33|LTR|ERVK	-1982	NM_001357242	71678		NM_027861	ENSMUSG00000046836	Brox	0610010K06Rik	BRO1 domain and CAAX motif containing	protein-coding	81.93	55.15	89.37	91.00	70.52	99.48	83.94	36.82	52.50	56.68	67.19	42.66
Merged-chr18-65250762-1	chr18	65250611	65250913	+	33.299999	pCREB.fed.mergepeaks.txt	intron (NR_105742, intron 4 of 6)	MTC|LTR|ERVL-MaLR	-1841	NR_162794									3.77	5.86	4.62	4.41	2.27	2.07	3.45	1.27	1.56	0.00	2.12	4.22
Merged-chr10-24914744-1	chr10	24914610	24914878	+	33.200001	pCREB.fast.mergepeaks.txt	TTS (NM_007482)	TTS (NM_007482)	4080	NR_105870	102465545		NR_105870	ENSMUSG00000099181	Mir6905	Gm27879|mmu-mir-6905	microRNA 6905	ncRNA	3.23	0.00	3.08	2.21	2.84	5.18	2.87	1.90	0.52	0.68	0.53	1.88
Merged-chr17-36837062-2	chr17	36836889	36837244	+	33.150002	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_001286727)	promoter-TSS (NM_001286727)	-80	NM_001286726	22670		NM_030698	ENSMUSG00000024457	Trim26	Zfp173|Zfp1736	tripartite motif-containing 26	protein-coding	4.31	2.44	40.06	52.94	32.42	39.89	95.44	79.99	33.79	87.41	4.23	6.09
Merged-chr17-34135526-2	chr17	34135358	34135697	+	32.983334	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	5' UTR (NM_001360530, exon 2 of 6)	5' UTR (NM_001360530, exon 2 of 6)	-7702	NR_160896	15000		NM_010388	ENSMUSG00000037548	H2-DMb2	H-2Mb2|H2-Mb2	histocompatibility 2, class II, locus Mb2	protein-coding	3.23	8.30	33.90	47.98	39.24	31.60	76.47	68.56	32.75	73.07	1.06	2.34
Merged-chr11-102881014-2	chr11	102880823	102881237	+	32.850002	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_001364757)	promoter-TSS (NM_001364757)	-55	NM_011431	20624		NM_011431	ENSMUSG00000020929	Eftud2	116kDa|Snrp116|U5-116kD	elongation factor Tu GTP binding domain containing 2	protein-coding	4.85	5.86	28.25	32.54	38.10	33.68	110.96	59.04	38.99	103.11	5.29	9.84
Merged-chr8-69716493-2	chr8	69716316	69716678	+	32.808334	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	5' UTR (NM_181274, exon 1 of 5)	5' UTR (NM_181274, exon 1 of 5)	405	NM_001359087	66869		NM_181274	ENSMUSG00000054648	Zfp869	1200003I07Rik	zinc finger protein 869	protein-coding	4.31	5.37	35.44	46.33	38.10	40.41	133.96	92.05	46.27	129.75	3.17	4.22
Merged-chr6-50566644-2	chr6	50566479	50566815	+	32.641666	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NR_015581)	promoter-TSS (NR_015581)	4	NR_027892	73183		NR_015581	ENSMUSG00000085776	5430402O13Rik	3110047M22Rik	RIKEN cDNA 5430402O13 gene	ncRNA	0.54	5.86	43.66	61.22	42.65	38.86	111.54	96.49	39.51	117.45	0.00	1.88
Merged-chr16-37539794-2	chr16	37539626	37539960	+	32.366669	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_028812)	promoter-TSS (NM_028812)	-4	NM_001355727	74197		NM_028812	ENSMUSG00000022828	Gtf2e1	2610024P03Rik|56kDa|FE|TFIIE-A	general transcription factor II E, polypeptide 1 (alpha subunit)	protein-coding	2.70	4.88	41.09	43.57	30.71	32.12	104.64	81.25	44.71	107.89	4.23	2.34
Merged-chr11-53300533-2	chr11	53300348	53300696	+	32.208336	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_008300)	promoter-TSS (NM_008300)	-43	NM_008300	15525		NM_008300	ENSMUSG00000020361	Hspa4	70kDa|APG-2|Hsp110|Hsp70RY|mKIAA4025	heat shock protein 4	protein-coding	3.23	3.42	31.85	59.01	33.55	40.41	143.16	114.90	56.14	159.79	5.29	7.97
Merged-chr11-118290369-2	chr11	118290197	118290557	+	32.153336	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_001033528)	promoter-TSS (NM_001033528)	-133	NM_001033528	72344		NM_001033528	ENSMUSG00000033909	Usp36	2700002L06Rik|mKIAA1453	ubiquitin specific peptidase 36	protein-coding	4.31	5.86	40.06	54.60	34.12	40.41	117.29	98.39	50.95	150.92	5.29	3.75
Merged-chr6-38533767-2	chr6	38533433	38533999	+	32.113335	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	Intergenic	Intergenic	-1145	NM_025363	66117		NM_025363	ENSMUSG00000019689	Fmc1	1110001J03Rik	formation of mitochondrial complex V assembly factor 1	protein-coding	10.24	7.81	42.12	54.60	37.54	45.08	175.36	130.77	73.82	163.89	7.41	11.72
Merged-chr2-39226366-2	chr2	39226206	39226533	+	32.088333	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_024209)	promoter-TSS (NM_024209)	-20	NM_024209	67857		NM_024209	ENSMUSG00000026753	Ppp6c	2310003C10Rik|Pp6C	protein phosphatase 6, catalytic subunit	protein-coding	0.54	4.39	35.44	33.09	34.69	32.64	102.92	92.05	37.43	122.92	3.17	2.34
Merged-chr4-124937018-2	chr4	124936831	124937185	+	32.021667	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_001355605)	promoter-TSS (NM_001355605)	-40	NM_001355605	194268		NM_177573	ENSMUSG00000044730	Airim	9930104L06Rik|C1orf109	AFG2 interacting ribosome maturation factor	protein-coding	2.70	5.37	45.71	65.63	45.50	47.15	102.92	74.27	30.15	88.09	1.59	6.56
Merged-chr14-79587381-2	chr14	79587188	79587581	+	32.008331	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_026474)	promoter-TSS (NM_026474)	-276	NM_026474	67955		NM_026474	ENSMUSG00000022024	Sugt1	2410174K12Rik|SGT1	SGT1, suppressor of G2 allele of SKP1 (S. cerevisiae)	protein-coding	4.85	8.79	60.61	67.83	65.40	58.55	189.73	137.12	89.41	206.91	10.05	6.09
Merged-chr17-94750041-2	chr17	94749866	94750197	+	31.959999	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_176917)	promoter-TSS (NM_176917)	-12	NM_176917	76781		NM_176917	ENSMUSG00000055660	Mettl4	2410198H06Rik|A730091E08Rik|HsT661	methyltransferase 4, N6-adenosine	protein-coding	3.23	2.93	63.18	96.51	79.05	76.16	216.18	131.40	87.34	183.69	4.23	4.22
Merged-chr11-59202492-2	chr11	59202327	59202660	+	31.950001	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_026035)	promoter-TSS (NM_026035)	7	NM_001302334	67212		NM_026035	ENSMUSG00000036860	Mrpl55	2810038N09Rik|L55mt|MRP-L55	mitochondrial ribosomal protein L55	protein-coding	3.77	5.37	56.50	68.94	40.95	38.34	123.61	93.32	49.91	134.53	5.29	9.38
Merged-chr19-4012738-2	chr19	4012555	4012951	+	31.950001	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_133666)	promoter-TSS (NM_133666)	2	NM_133666	17995		NM_133666	ENSMUSG00000037916	Ndufv1	CI-51kD	NADH:ubiquinone oxidoreductase core subunit V1	protein-coding	4.31	5.37	36.47	57.36	42.09	38.86	137.99	104.74	45.23	137.26	3.70	11.72
Merged-chr5-90366661-2	chr5	90366499	90366831	+	31.938332	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NR_045618)	promoter-TSS (NR_045618)	-332	NR_045618	791294		NR_045618	ENSMUSG00000054945	Gm9958	-	predicted gene 9958	ncRNA	3.23	6.35	49.82	67.28	59.15	53.88	145.46	103.47	60.82	144.09	6.35	3.75
Merged-chr17-25861543-2	chr17	25861336	25861730	+	31.733334	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_001163766)	promoter-TSS (NM_001163766)	-18	NM_001163766	106618		NM_134124	ENSMUSG00000073434	Wdr90	3230401M21Rik|mKIAA1924	WD repeat domain 90	protein-coding	2.16	7.32	28.25	49.64	32.42	47.67	116.71	85.70	49.39	156.38	5.82	5.63
Merged-chr13-59769895-2	chr13	59769721	59770069	+	31.716667	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_026921)	promoter-TSS (NM_026921)	-71	NR_015349	13996		NR_015349		Etohd2	-	ethanol decreased 2	ncRNA	2.70	3.42	31.85	46.88	34.12	39.89	133.96	90.14	64.46	161.84	2.65	3.75
Merged-chr7-119720815-2	chr7	119720652	119720971	+	31.700001	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	5' UTR (NM_145585, exon 2 of 5)	5' UTR (NM_145585, exon 2 of 5)	2808	NM_145585	233802		NM_145585	ENSMUSG00000030942	Thumpd1	6330575P11Rik	THUMP domain containing 1	protein-coding	1.08	3.90	43.15	61.22	44.93	64.76	124.76	106.65	54.06	127.01	1.59	6.09
Merged-chr7-12897800-2	chr7	12897626	12897966	+	31.693335	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_001290442)	promoter-TSS (NM_001290442)	-13	NM_001290438	232878		NM_001001447	ENSMUSG00000054715	Zscan22	D530006B18Rik|Hkr2	zinc finger and SCAN domain containing 22	protein-coding	5.39	5.37	34.93	53.50	45.50	45.08	160.41	120.61	71.74	135.21	4.23	6.09
Merged-chr15-79687934-2	chr15	79687769	79688123	+	31.691666	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_028792)	promoter-TSS (NM_028792)	-74	NM_028792	74158		NM_028792	ENSMUSG00000022426	Josd1	1300006C06Rik|mKIAA0063	Josephin domain containing 1	protein-coding	3.23	6.83	67.80	75.00	60.28	55.44	207.56	139.02	85.26	201.45	4.76	3.28
Merged-chr19-5610091-2	chr19	5609862	5610307	+	31.633333	pCREB.fed.mergepeaks.txt|pCREB.fast.mergepeaks.txt	promoter-TSS (NM_001199249)	promoter-TSS (NM_001199249)	10	NM_001199249	81601		NM_178637	ENSMUSG00000024926	Kat5	CPLA2|Htatip|Htatip1|PLIP|Tip55|Tip60	K(lysine) acetyltransferase 5	protein-coding	7.01	6.35	48.28	68.39	53.46	46.63	169.61	121.25	55.62	160.48	6.88	6.56
