PeakID (cmd=annotatePeaks.pl pCREB.fed.BCL6.mergepeaks.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Merged-chr6-39592572-1	chr6	39592389	39592755	+	83.700005	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_026612)	promoter-TSS (NM_026612)	7	NR_152450	68198		NM_026612	ENSMUSG00000002416	Ndufb2	1810011O01Rik|8kDa|AGGG|CI-AGGG	NADH:ubiquinone oxidoreductase subunit B2	protein-coding
Merged-chr5-148787311-1	chr5	148787218	148787404	+	83.300003	GetdiffpeaksBCL6WT.txt	Intergenic	RLTR12BD_Mm|LTR|ERVK	9348	NR_131106	78015		NR_131106	ENSMUSG00000085740	4930505K14Rik	-	RIKEN cDNA 4930505K14 gene	ncRNA
Merged-chr5-89494007-1	chr5	89493914	89494100	+	83.300003	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-33422	NM_133192	104443		NM_133192	ENSMUSG00000035528	Npffr2	Gpr74|HG31|NPFF2	neuropeptide FF receptor 2	protein-coding
Merged-chr3-106547174-1	chr3	106547081	106547267	+	83.300003	GetdiffpeaksBCL6WT.txt	promoter-TSS (NM_026013)	promoter-TSS (NM_026013)	451	NM_001357818	99712		NM_133869	ENSMUSG00000040774	Cept1	9930118K05Rik|mCEPT1	choline/ethanolaminephosphotransferase 1	protein-coding
Merged-chr6-53995737-1	chr6	53995644	53995830	+	83.300003	GetdiffpeaksBCL6WT.txt	intron (NR_110484, intron 1 of 3)	MLT1H2|LTR|ERVL-MaLR	17046	NR_110484	320178		NR_110484		4921529L05Rik	4930590G02Rik	RIKEN cDNA 4921529L05 gene	ncRNA
Merged-chr13-70831260-1	chr13	70831167	70831353	+	83.300003	GetdiffpeaksBCL6WT.txt	intron (NR_137640, intron 3 of 22)	intron (NR_137640, intron 3 of 22)	-9190	NR_167928	102640479		NR_167928	ENSMUSG00000113771	Gm36529	-	predicted gene, 36529	ncRNA
Merged-chr14-27475739-1	chr14	27475646	27475832	+	83.300003	GetdiffpeaksBCL6WT.txt	exon (NM_001114879, exon 19 of 24)	exon (NM_001114879, exon 19 of 24)	32721	NM_177111	320234		NM_177111	ENSMUSG00000046753	Ccdc66	E230015L20Rik	coiled-coil domain containing 66	protein-coding
Merged-chr4-134165761-1	chr4	134165668	134165854	+	83.300003	GetdiffpeaksBCL6WT.txt	intron (NM_144527, intron 3 of 13)	B3A|SINE|B2	21324	NM_144527	70012		NM_144527	ENSMUSG00000037443	Cep85	2410030J07Rik|Ccdc21	centrosomal protein 85	protein-coding
Merged-chr3-107230088-1	chr3	107229995	107230181	+	83.300003	GetdiffpeaksBCL6WT.txt	promoter-TSS (NM_001256174)	promoter-TSS (NM_001256174)	-526	NM_001256174	319929		NM_001256174		A630076J17Rik	-	RIKEN cDNA A630076J17 gene	protein-coding
Merged-chr2-128187277-1	chr2	128187184	128187370	+	83.300003	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	59702	NM_001284410	12125		NM_009754	ENSMUSG00000027381	Bcl2l11	1500006F24Rik|Bim|Bod|bcl2-L-11	BCL2 like 11	protein-coding
Merged-chr17-72399802-1	chr17	72399709	72399895	+	83.300003	GetdiffpeaksBCL6WT.txt	intron (NM_007439, intron 1 of 28)	intron (NM_007439, intron 1 of 28)	204505	NM_007439	11682		NM_007439	ENSMUSG00000055471	Alk	CD246|Tcrz	anaplastic lymphoma kinase	protein-coding
Merged-chr9-63091127-1	chr9	63091034	63091220	+	83.300003	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	55853	NM_172446	207667		NM_172446	ENSMUSG00000022245	Skor1	C230094B15Rik|Corl1|Lbxcor1	SKI family transcriptional corepressor 1	protein-coding
Merged-chr15-13846115-1	chr15	13846022	13846208	+	83.300003	GetdiffpeaksBCL6WT.txt	Intergenic	ORR1E|LTR|ERVL-MaLR	-672440	NM_007666	12563		NM_007666	ENSMUSG00000039385	Cdh6	cad6	cadherin 6	protein-coding
Merged-chr9-122316752-1	chr9	122316659	122316845	+	83.300003	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-5824	NR_168548	108167690		NR_168547	ENSMUSG00000097572	Gm26797	-	predicted gene, 26797	ncRNA
Merged-chr2-118510614-1	chr2	118510521	118510707	+	83.300003	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-30918	NM_009273	20813		NM_009273	ENSMUSG00000009549	Srp14	14kDa	signal recognition particle 14	protein-coding
Merged-chr2-71739646-1	chr2	71739553	71739739	+	83.300003	GetdiffpeaksBCL6WT.txt	intron (NR_039557, intron 2 of 3)	intron (NR_039557, intron 2 of 3)	20229	NR_037979	381371		NM_201366	ENSMUSG00000064263	Platr26	Gm1631	pluripotency associated transcript 26	ncRNA
Merged-chr4-96664180-1	chr4	96664087	96664273	+	83.300003	GetdiffpeaksBCL6WT.txt	promoter-TSS (NM_010007)	promoter-TSS (NM_010007)	-61	NM_010007	13109		NM_010007	ENSMUSG00000052520	Cyp2j5	-	cytochrome P450, family 2, subfamily j, polypeptide 5	protein-coding
Merged-chr15-88919563-1	chr15	88919470	88919656	+	82.099998	GetdiffpeaksBCL6WT.txt	exon (NM_172818, exon 9 of 12)	exon (NM_172818, exon 9 of 12)	34855	NM_001357736	239591		NM_172818	ENSMUSG00000022388	Ttll8	1700019P01Rik|4933401B17	tubulin tyrosine ligase-like family, member 8	protein-coding
Merged-chr6-34655957-1	chr6	34655864	34656050	+	82.099998	GetdiffpeaksBCL6WT.txt	intron (NM_001347100, intron 1 of 13)	intron (NM_001347100, intron 1 of 13)	-2042	NR_167697	100039184		NR_167697	ENSMUSG00000085382	Gm13861	-	predicted gene 13861	ncRNA
Merged-chr11-106668021-1	chr11	106667928	106668114	+	82.099998	GetdiffpeaksBCL6WT.txt	intron (NM_001305158, intron 13 of 14)	intron (NM_001305158, intron 13 of 14)	47260	NM_001305158	18613		NM_008816	ENSMUSG00000020717	Pecam1	Cd31|PECAM-1|Pecam	platelet/endothelial cell adhesion molecule 1	protein-coding
Merged-chr3-64468560-1	chr3	64468467	64468653	+	82.099998	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	39125	NM_001104618	667060		NM_001104618	ENSMUSG00000068999	Vmn2r5	EG667060	vomeronasal 2, receptor 5	protein-coding
Merged-chr9-106822832-1	chr9	106822739	106822925	+	82.099998	GetdiffpeaksBCL6WT.txt	intron (NM_001373930, intron 1 of 23)	intron (NM_001373930, intron 1 of 23)	908	NM_001373931	321006		NM_001015507	ENSMUSG00000040325	Dcaf1	B930007L02Rik|Vprbp|mKIAA0800	DDB1 and CUL4 associated factor 1	protein-coding
Merged-chr10-122308824-1	chr10	122308731	122308917	+	82.099998	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-139675	NM_016847	54140		NM_016847	ENSMUSG00000020123	Avpr1a	AVPR|Avpr1|V1a|V1aR	arginine vasopressin receptor 1A	protein-coding
Merged-chr4-122936057-1	chr4	122935964	122936150	+	82.099998	GetdiffpeaksBCL6WT.txt	Intergenic	Tigger17a|DNA|TcMar-Tigger	25131	NM_029662	76574		NM_029662	ENSMUSG00000028655	Mfsd2a	1700018O18Rik|Mfsd2|NLS1	MFSD2 lysolipid transporter A, lysophospholipid	protein-coding
Merged-chr2-72176526-1	chr2	72176433	72176619	+	82.099998	GetdiffpeaksBCL6WT.txt	intron (NM_019688, intron 7 of 29)	intron (NM_019688, intron 7 of 29)	-109111	NM_023057	65964		NM_023057	ENSMUSG00000004085	Map3k20	B230120H23Rik|HCCS-4|MLTK|MLTKalpha|MLTKbeta|MRK|Zak	mitogen-activated protein kinase kinase kinase 20	protein-coding
Merged-chr9-42750340-1	chr9	42750247	42750433	+	82.099998	GetdiffpeaksBCL6WT.txt	intron (NM_175481, intron 3 of 20)	intron (NM_175481, intron 3 of 20)	194031	NM_175481	110637		NM_175481	ENSMUSG00000032017	Grik4	6330551K01Rik|GluK4|GluRgamma1|KA-1|KA1	glutamate receptor, ionotropic, kainate 4	protein-coding
Merged-chr2-92446056-1	chr2	92445963	92446149	+	82.099998	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-11987	NM_009963	12953		NM_009963	ENSMUSG00000068742	Cry2	D130054K12Rik	cryptochrome circadian regulator 2	protein-coding
Merged-chr17-36487002-1	chr17	36486909	36487095	+	82.099998	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-24673	NM_177634	224753		NM_177634	ENSMUSG00000048231	H2-M10.4	15H	histocompatibility 2, M region locus 10.4	protein-coding
Merged-chr9-88439075-2	chr9	88438895	88439232	+	81.974998	pCREB.fed.mergepeaks.txt|GetdiffpeaksBCL6WT.txt	promoter-TSS (NM_172926)	promoter-TSS (NM_172926)	-134	NM_172926	244962		NM_172926	ENSMUSG00000032422	Snx14	B830022K16|C330035N22Rik|YR-14	sorting nexin 14	protein-coding
Merged-chr7-30665004-1	chr7	30664845	30665163	+	81.933334	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_027999)	promoter-TSS (NM_027999)	-10	NM_027999	71909		NM_027999	ENSMUSG00000078762	Haus5	2310022K01Rik	HAUS augmin-like complex, subunit 5	protein-coding
Merged-chr4-46870294-2	chr4	46870111	46870634	+	81.716667	pCREB.fed.mergepeaks.txt|GetdiffpeaksBCL6WT.txt	intron (NM_001081141, intron 2 of 18)	intron (NM_001081141, intron 2 of 18)	121342	NM_001081141	242425		NM_001081141	ENSMUSG00000039809	Gabbr2	GABABR2|Gb2|Gm425|Gpr51	gamma-aminobutyric acid type B receptor subunit 2	protein-coding
Merged-chr11-72215299-1	chr11	72215143	72215455	+	81.166664	pCREB.fed.mergepeaks.txt	5' UTR (NM_001163728, exon 1 of 1)	5' UTR (NM_001163728, exon 1 of 1)	161	NM_001163728	75304		NM_001163728	ENSMUSG00000053574	4930563E22Rik	-	RIKEN cDNA 4930563E22 gene	protein-coding
Merged-chr11-101552166-1	chr11	101551982	101552350	+	81.066666	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_001252223)	promoter-TSS (NM_001252223)	59	NM_001252220	17966		NM_008676	ENSMUSG00000017119	Nbr1	mKIAA0049	NBR1, autophagy cargo receptor	protein-coding
Merged-chr1-92906786-1	chr1	92906693	92906879	+	81.000000	GetdiffpeaksBCL6WT.txt	promoter-TSS (NM_175118)	promoter-TSS (NM_175118)	-203	NM_175118	67446		NM_175118	ENSMUSG00000047067	Dusp28	0710001B24Rik	dual specificity phosphatase 28	protein-coding
Merged-chr2-75643553-1	chr2	75643460	75643646	+	81.000000	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	15384	NR_166143	105244210		NR_166130		Gm39859	-	predicted gene, 39859	ncRNA
Merged-chr19-11455020-1	chr19	11454927	11455113	+	81.000000	GetdiffpeaksBCL6WT.txt	intron (NM_021718, intron 3 of 6)	intron (NM_021718, intron 3 of 6)	11462	NM_021718	60361		NM_021718	ENSMUSG00000056290	Ms4a4b	Chandra|Ly116	membrane-spanning 4-domains, subfamily A, member 4B	protein-coding
Merged-chr6-136907107-1	chr6	136907014	136907200	+	81.000000	GetdiffpeaksBCL6WT.txt	TTS (NM_026983)	TTS (NM_026983)	15073	NM_026983	69187		NM_026983	ENSMUSG00000030219	Erp27	1810033M07Rik|1810047B09Rik	endoplasmic reticulum protein 27	protein-coding
Merged-chr10-23924155-1	chr10	23924062	23924248	+	81.000000	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	3749	NM_053205	111174		NM_053205	ENSMUSG00000056379	Taar1	Tar1|Trar1|taR-1	trace amine-associated receptor 1	protein-coding
Merged-chr10-68558675-1	chr10	68558582	68558768	+	81.000000	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-16800	NM_028491	73287		NM_028491	ENSMUSG00000019945	Cabcoco1	1700040L02Rik	ciliary associated calcium binding coiled-coil 1	protein-coding
Merged-chr10-59774347-1	chr10	59774254	59774440	+	81.000000	GetdiffpeaksBCL6WT.txt	intron (NM_001359267, intron 6 of 11)	intron (NM_001359267, intron 6 of 11)	25907	NR_155871	102640356		NR_155871	ENSMUSG00000091184	Gm17059	-	predicted gene 17059	ncRNA
Merged-chr11-38681460-1	chr11	38681367	38681553	+	81.000000	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-161415	NR_040295	100502917		NR_040295		Gm12130	-	predicted gene 12130	ncRNA
Merged-chr6-113896262-1	chr6	113896169	113896355	+	81.000000	GetdiffpeaksBCL6WT.txt	intron (NM_009723, intron 3 of 21)	intron (NM_009723, intron 3 of 21)	-4723	NM_001036684	11941		NM_009723	ENSMUSG00000030302	Atp2b2	D6Abb2e|Gena300|PMCA2|Tmy|dfw|jog|wms|wri	ATPase, Ca++ transporting, plasma membrane 2	protein-coding
Merged-chr1-167387541-1	chr1	167387448	167387634	+	81.000000	GetdiffpeaksBCL6WT.txt	intron (NM_025569, intron 1 of 5)	intron (NM_025569, intron 1 of 5)	6300	NM_025569	66447		NM_025569	ENSMUSG00000026688	Mgst3	2010012L10Rik|2010306B17Rik|2700004G04Rik|GST-III	microsomal glutathione S-transferase 3	protein-coding
Merged-chr10-107315473-1	chr10	107315380	107315566	+	81.000000	GetdiffpeaksBCL6WT.txt	intron (NM_001284329, intron 1 of 5)	MIR|SINE|MIR	43079	NM_001284329	108030		NM_001033223	ENSMUSG00000019906	Lin7a	LIN-7A|MALS-1|TIP-33|Veli|Veli1	lin-7 homolog A, crumbs cell polarity complex component	protein-coding
Merged-chr1-161380239-1	chr1	161380146	161380332	+	81.000000	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-15199	NM_009452	22164		NM_009452	ENSMUSG00000026700	Tnfsf4	Ath-1|Ath1|CD134L|OX-40L|Ox40l|TXGP1|Tnlg2b|Txgp1l|gp34	tumor necrosis factor (ligand) superfamily, member 4	protein-coding
Merged-chr5-72649078-1	chr5	72648985	72649171	+	81.000000	GetdiffpeaksBCL6WT.txt	intron (NM_001081205, intron 1 of 5)	intron (NM_001081205, intron 1 of 5)	1282	NM_001081205	70701		NM_001081205	ENSMUSG00000067219	Nipal1	3830408G10Rik|Npal1	NIPA-like domain containing 1	protein-coding
Merged-chr10-33812477-1	chr10	33812384	33812570	+	81.000000	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-30362	NM_001101452	215895		NM_001101452	ENSMUSG00000090298	Sult3a2	EG215895|Gm4794	sulfotransferase family 3A, member 2	protein-coding
Merged-chr13-93648856-1	chr13	93648763	93648949	+	81.000000	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-11098	NM_016668	12116		NM_016668	ENSMUSG00000074768	Bhmt	-	betaine-homocysteine methyltransferase	protein-coding
Merged-chr19-24961613-1	chr19	24961436	24961791	+	80.833336	pCREB.fed.mergepeaks.txt	promoter-TSS (NR_033744)	promoter-TSS (NR_033744)	3	NR_033744	226043		NM_146097	ENSMUSG00000024878	Zng1	Cbwd1	Zn regulated GTPase metalloprotein activator 1	protein-coding
Merged-chr17-24707664-1	chr17	24707499	24707829	+	80.800003	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_145396)	promoter-TSS (NM_145396)	-11	NM_145396	213773		NM_145396	ENSMUSG00000040688	Tbl3	9430070M15Rik	transducin (beta)-like 3	protein-coding
Merged-chr12-101083709-1	chr12	101083544	101083875	+	80.333336	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_211355)	promoter-TSS (NM_211355)	-7	NM_001160214	68734		NM_211355	ENSMUSG00000041846	Ppp4r3a	1110034C04Rik|Smek1|mKIAA2010	protein phosphatase 4 regulatory subunit 3A	protein-coding
Merged-chr2-154656921-1	chr2	154656759	154657084	+	80.000000	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_029362)	promoter-TSS (NM_029362)	-105	NM_029362	75608		NM_029362	ENSMUSG00000038467	Chmp4b	2010012F05Rik|Snf7-2	charged multivesicular body protein 4B	protein-coding
Merged-chr9-42673265-1	chr9	42673172	42673358	+	79.800003	GetdiffpeaksBCL6WT.txt	intron (NM_175481, intron 5 of 20)	intron (NM_175481, intron 5 of 20)	-201027	NM_173038	272589		NM_173038	ENSMUSG00000037287	Tbcel	D330014K23|E130107N23Rik|Lrrc35	tubulin folding cofactor E-like	protein-coding
Merged-chr1-54615125-1	chr1	54615032	54615218	+	79.800003	GetdiffpeaksBCL6WT.txt	Intergenic	Charlie1|DNA|hAT-Charlie	-57441	NM_001163314	241062		NM_175508	ENSMUSG00000073678	Pgap1	5033403E17Rik|9030223K07Rik|A530084K22|D230012E17Rik|oto	post-GPI attachment to proteins 1	protein-coding
Merged-chr2-179261050-1	chr2	179260957	179261143	+	79.800003	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-153886	NM_026596	68175		NM_026596	ENSMUSG00000039138	4930591A17Rik	-	RIKEN cDNA 4930591A17 gene	protein-coding
Merged-chr11-50194660-1	chr11	50194567	50194753	+	79.800003	GetdiffpeaksBCL6WT.txt	intron (NM_026543, intron 4 of 6)	intron (NM_026543, intron 4 of 6)	16160	NM_001290769	18412		NM_011018	ENSMUSG00000015837	Sqstm1	A170|OSF-6|Osi|STAP|STONE14|p62	sequestosome 1	protein-coding
Merged-chr17-11036673-1	chr17	11036580	11036766	+	79.800003	GetdiffpeaksBCL6WT.txt	intron (NM_001317726, intron 1 of 6)	intron (NM_001317726, intron 1 of 6)	196314	NM_016694	50873		NM_016694	ENSMUSG00000023826	Prkn	Park2	parkin RBR E3 ubiquitin protein ligase	protein-coding
Merged-chr8-119430439-1	chr8	119430346	119430532	+	79.800003	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-6708	NM_027950	71839		NM_027950	ENSMUSG00000074063	Osgin1	1700012B18Rik|Okl38	oxidative stress induced growth inhibitor 1	protein-coding
Merged-chr2-128738022-1	chr2	128737929	128738115	+	79.800003	GetdiffpeaksBCL6WT.txt	intron (NM_008587, intron 3 of 18)	intron (NM_008587, intron 3 of 18)	39107	NM_008587	17289		NM_008587	ENSMUSG00000014361	Mertk	Eyk|Mer|Nyk|nmf12	MER proto-oncogene tyrosine kinase	protein-coding
Merged-chr13-29622137-1	chr13	29622044	29622230	+	79.800003	GetdiffpeaksBCL6WT.txt	intron (NM_144536, intron 9 of 15)	intron (NM_144536, intron 9 of 15)	233536	NR_131896	68916		NM_144536	ENSMUSG00000006191	Cdkal1	1190005B03Rik|6620401C13Rik	CDK5 regulatory subunit associated protein 1-like 1	protein-coding
Merged-chr11-95365878-1	chr11	95365785	95365971	+	79.800003	GetdiffpeaksBCL6WT.txt	intron (NM_172543, intron 2 of 7)	intron (NM_172543, intron 2 of 7)	-18978	NM_016752	110172		NM_016752	ENSMUSG00000020873	Slc35b1	AXER|UGTrel1|Ugalt2	solute carrier family 35, member B1	protein-coding
Merged-chr2-153592801-1	chr2	153592708	153592894	+	79.800003	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	39980	NM_133850	99311		NM_133850	ENSMUSG00000056941	Commd7	2310010I22Rik|mU3	COMM domain containing 7	protein-coding
Merged-chr18-43131958-1	chr18	43131865	43132051	+	79.800003	GetdiffpeaksBCL6WT.txt	Intergenic	MER33|DNA|hAT-Charlie	-72487	NM_028392	72930		NM_027531	ENSMUSG00000024500	Ppp2r2b	2900026H06Rik|6330404L05Rik|E130009M08Rik|PP2A-PR55B|PR55-BETA|SCA12	protein phosphatase 2, regulatory subunit B, beta	protein-coding
Merged-chr12-117725187-1	chr12	117725094	117725280	+	79.800003	GetdiffpeaksBCL6WT.txt	intron (NM_001373989, intron 17 of 25)	intron (NM_001373989, intron 17 of 25)	-118674	NM_146040	217946		NM_146040	ENSMUSG00000021175	Cdca7l	JPO2	cell division cycle associated 7 like	protein-coding
Merged-chr16-32555830-1	chr16	32555737	32555923	+	79.800003	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-53066	NM_011638	22042		NM_011638	ENSMUSG00000022797	Tfrc	2610028K12Rik|CD71|E430033M20Rik|Mtvr1|TFR|TFR1|TR|Trfr|p90	transferrin receptor	protein-coding
Merged-chr7-112185425-1	chr7	112185332	112185518	+	79.800003	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-25943	NM_001360257	50781		NM_015814	ENSMUSG00000030772	Dkk3	dkk-3|mDkk-3	dickkopf WNT signaling pathway inhibitor 3	protein-coding
Merged-chr1-191254759-1	chr1	191254666	191254852	+	79.800003	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	30305	NR_151547	100504360		NM_001033188	ENSMUSG00000073478	D730003I15Rik	-	RIKEN cDNA D730003I15 gene	ncRNA
Merged-chr2-132848553-1	chr2	132848460	132848646	+	79.800003	GetdiffpeaksBCL6WT.txt	intron (NM_025646, intron 1 of 6)	intron (NM_025646, intron 1 of 6)	819	NM_025646	66586		NM_025646	ENSMUSG00000027357	Crls1	0610009I22Rik|4930557M15Rik|5730490M08Rik	cardiolipin synthase 1	protein-coding
Merged-chr15-96547424-1	chr15	96547331	96547517	+	79.800003	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-86581	NM_028148	72193		NM_028148	ENSMUSG00000033228	Scaf11	1110061H03Rik|2610510E10Rik|CASP11|SIP1|SRRP129|Sfrs2ip|Srsf2ip|mKIAA3013	SR-related CTD-associated factor 11	protein-coding
Merged-chr18-33562782-1	chr18	33562689	33562875	+	79.800003	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	98619	NR_045415	433171		NR_045415	ENSMUSG00000118292	Gm10549	-	predicted gene 10549	ncRNA
Merged-chr10-62449764-1	chr10	62449589	62449939	+	79.733330	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_181423)	promoter-TSS (NM_181423)	-26	NM_181423	338359		NM_181423	ENSMUSG00000020079	Supv3l1	6330443E10Rik	suppressor of var1, 3-like 1 (S. cerevisiae)	protein-coding
Merged-chr8-79711744-1	chr8	79711586	79711903	+	79.666664	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_026904)	promoter-TSS (NM_026904)	-4	NR_152614	24015		NM_015751	ENSMUSG00000058355	Abce1	Oabp|RLI|RNS41|RNS4I|Rnaseli	ATP-binding cassette, sub-family E member 1	protein-coding
Merged-chr9-123113217-1	chr9	123113039	123113396	+	79.433334	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_001372550)	promoter-TSS (NM_001372550)	-14	NM_001081188	66446		NM_025568	ENSMUSG00000025785	Exosc7	2610002K22Rik|mKIAA0116	exosome component 7	protein-coding
Merged-chr11-76243731-1	chr11	76243569	76243894	+	78.633331	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_026029)	promoter-TSS (NM_026029)	-5	NM_183263	67390		NM_183263	ENSMUSG00000038046	Mrm3	4833420N02Rik|HC90|Rnmtl1	mitochondrial rRNA methyltransferase 3	protein-coding
Merged-chr9-62222698-1	chr9	62222605	62222791	+	78.599998	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	21402	NR_040769	330958		NR_040769	ENSMUSG00000111232	A730043L09Rik	A730043L09	RIKEN cDNA A730043L09 gene	ncRNA
Merged-chr19-7802723-1	chr19	7802630	7802816	+	78.599998	GetdiffpeaksBCL6WT.txt	promoter-TSS (NM_146232)	promoter-TSS (NM_146232)	-56	NM_146232	236149		NM_146232	ENSMUSG00000053303	Slc22a26	-	solute carrier family 22 (organic cation transporter), member 26	protein-coding
Merged-chr15-102135116-1	chr15	102135023	102135209	+	78.599998	GetdiffpeaksBCL6WT.txt	intron (NM_001033277, intron 1 of 10)	intron (NM_001033277, intron 1 of 10)	1099	NM_001033277	223918		NM_001033277	ENSMUSG00000036966	Spryd3	-	SPRY domain containing 3	protein-coding
Merged-chr5-92204283-1	chr5	92204190	92204376	+	78.599998	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	11125	NR_033483	57425		NM_020562	ENSMUSG00000029409	U90926	-	cDNA sequence U90926	protein-coding
Merged-chr17-29399434-1	chr17	29399341	29399527	+	78.599998	GetdiffpeaksBCL6WT.txt	Intergenic	L1ME4b|LINE|L1	38520	NM_001159538	26382		NM_013710	ENSMUSG00000024013	Fgd2	Tcd-2|Tcd2|ZFYVE4|tcs-2|tcs2	FYVE, RhoGEF and PH domain containing 2	protein-coding
Merged-chr4-138347494-1	chr4	138347401	138347587	+	78.599998	GetdiffpeaksBCL6WT.txt	intron (NM_028176, intron 2 of 3)	intron (NM_028176, intron 2 of 3)	20461	NM_028176	72269		NM_028176	ENSMUSG00000028755	Cda	2210401N16Rik	cytidine deaminase	protein-coding
Merged-chr16-48424272-1	chr16	48424179	48424365	+	78.599998	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-6965	NM_010816	17450		NM_010816	ENSMUSG00000022652	Morc1	Morc	microrchidia 1	protein-coding
Merged-chr9-89264091-1	chr9	89263998	89264184	+	78.599998	GetdiffpeaksBCL6WT.txt	Intergenic	RSINE1|SINE|B4	52707	NM_001359993	107885		NM_026829	ENSMUSG00000066442	Mthfs	1110034I12Rik|2310020H23Rik	5, 10-methenyltetrahydrofolate synthetase	protein-coding
Merged-chr17-56220014-2	chr17	56219871	56220175	+	78.485001	pCREB.fed.mergepeaks.txt|GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-1134	NM_172624	224897		NM_172624	ENSMUSG00000001229	Dpp9	6430584G11Rik|A330078I11|DPP IX|DPRP2	dipeptidylpeptidase 9	protein-coding
Merged-chr4-107879772-1	chr4	107879617	107879927	+	78.433334	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_001282737)	promoter-TSS (NM_001282737)	17	NM_001282737	17149		NM_001282737	ENSMUSG00000028609	Magoh	Mago-m|Mos2	mago homolog, exon junction complex core component	protein-coding
Merged-chr9-3030179-1	chr9	3030028	3030330	+	78.300003	pCREB.fed.mergepeaks.txt	Intergenic	GSAT_MM|Satellite|Satellite	8564	NR_039546	100628572		NR_039546	ENSMUSG00000106183	Mir101c	mir-101c|mmu-mir-101c	microRNA 101c	ncRNA
Merged-chr16-22009414-1	chr16	22009258	22009571	+	78.233330	pCREB.fed.mergepeaks.txt	promoter-TSS (NR_027488)	promoter-TSS (NR_027488)	-70	NM_029457	75826		NM_029457	ENSMUSG00000022855	Senp2	2310007L05Rik|4930538C18Rik|Smt3ip2|SuPr-1|mKIAA1331	SUMO/sentrin specific peptidase 2	protein-coding
Merged-chr5-108312756-1	chr5	108312604	108312908	+	77.766663	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_001310689)	promoter-TSS (NM_001310689)	-57	NM_001081234	433931		NM_001081234	ENSMUSG00000029263	Pigg	Gpi7	phosphatidylinositol glycan anchor biosynthesis, class G	protein-coding
Merged-chr5-146704089-1	chr5	146703996	146704182	+	77.400002	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	90867	NM_011669	22217		NM_011669	ENSMUSG00000029640	Usp12	Ubh1	ubiquitin specific peptidase 12	protein-coding
Merged-chr10-20590407-1	chr10	20590314	20590500	+	77.400002	GetdiffpeaksBCL6WT.txt	intron (NM_013875, intron 2 of 12)	intron (NM_013875, intron 2 of 12)	-42079	NM_001347366	29863		NM_013875	ENSMUSG00000019990	Pde7b	-	phosphodiesterase 7B	protein-coding
Merged-chr4-84108781-1	chr4	84108688	84108874	+	77.400002	GetdiffpeaksBCL6WT.txt	Intergenic	Intergenic	-63902	NR_130998	78238		NR_130998	ENSMUSG00000085217	6030471H07Rik	-	RIKEN cDNA 6030471H07 gene	ncRNA
